data,timestamp
826378.777,1739527563.448022
770432.010,1739527563.907876
776273.055,1739527564.419364
884770.586,1739527564.879718
948818.993,1739527565.443427
938873.226,1739527565.903842
967112.185,1739527566.414671
1058872.483,1739527566.926496
1166487.534,1739527567.438468
1300484.739,1739527567.898698
1397355.492,1739527568.462396
1432233.173,1739527568.871386
1433068.962,1739527569.382690
1377030.606,1739527569.894792
1290511.676,1739527570.458593
1153144.156,1739527570.918562
1049671.489,1739527571.431373
1002592.319,1739527571.892295
934177.322,1739527572.455571
830282.022,1739527572.864747
747402.288,1739527573.427447
699379.233,1739527573.887895
643260.812,1739527574.399433
573709.611,1739527574.911093
514998.684,1739527575.474102
474209.382,1739527575.883241
474701.637,1739527576.343919
543429.412,1739527576.907114
590578.225,1739527577.470152
602032.280,1739527577.879245
627038.272,1739527578.440769
674462.071,1739527578.900849
737244.339,1739527579.412378
825466.491,1739527579.923817
870959.478,1739527580.436041
845603.604,1739527580.896062
814781.850,1739527581.407347
774921.832,1739527581.918566
733206.484,1739527582.430338
688420.803,1739527582.890743
692183.955,1739527583.453721
776275.915,1739527583.913996
838904.520,1739527584.374884
865964.760,1739527584.886172
855957.437,1739527585.397343
784550.939,1739527585.909461
718321.208,1739527586.420638
660650.172,1739527586.880802
651308.097,1739527587.444024
721734.718,1739527587.904732
778866.129,1739527588.468028
813980.082,1739527588.877105
906765.396,1739527589.388578
1094919.222,1739527589.901713
1240417.715,1739527590.413759
1315147.332,1739527590.874246
1343867.395,1739527591.386153
1296191.709,1739527591.897201
1210510.236,1739527592.408912
1061762.992,1739527592.869032
930000.229,1739527593.483894
826333.104,1739527593.893441
699999.257,1739527594.405034
536193.161,1739527594.865481
374770.776,1739527595.378032
217259.897,1739527595.889525
140933.467,1739527596.400941
197905.149,1739527596.912439
283141.026,1739527597.424655
414801.750,1739527597.885060
556653.407,1739527598.396725
715292.562,1739527598.907747
832418.496,1739527599.419636
881038.616,1739527599.931547
922804.184,1739527600.443449
953248.283,1739527600.904142
966131.633,1739527601.415385
949998.283,1739527601.926689
